program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00554,nurs_qc,1315,1,7121,16245,54576.0,0,176
train_00554,random-path,1315,1,7121,15068,50978.0,0,176
train_00570,bfs,949,1,6893,15630,56607.0,0,122
train_00570,dfs,949,1,6893,16146,57597.0,0,122
train_00570,nurs_covnew,949,1,6893,13813,57136.0,0,122
train_00570,nurs_md2u,949,1,6893,13697,58419.0,0,122
train_00570,nurs_qc,949,1,6893,14618,56964.0,0,122
train_00570,random-path,949,1,6893,14457,55970.0,0,122
train_00584,bfs,1046,25,7484,11154080,11218701.0,0,125
train_00584,dfs,1046,19,7606,11057568,11117071.0,0,125
train_00584,nurs_covnew,1046,22,7303,11342444,11390529.0,0,125
train_00584,nurs_md2u,1046,22,7303,11356809,11420297.0,0,125
train_00584,nurs_qc,1046,24,7481,10622907,10688548.0,0,125
train_00584,random-path,1046,25,7587,10847683,10894602.0,0,125
train_00624,bfs,945,1,6887,12015,45939.0,0,118
train_00624,dfs,945,1,6887,12359,46661.0,0,118
train_00624,nurs_covnew,945,1,6887,11378,46618.0,0,118
train_00624,nurs_md2u,945,1,6887,12321,47718.0,0,118
train_00624,nurs_qc,945,1,6887,12628,47529.0,0,118
train_00624,random-path,945,1,6887,12670,46597.0,0,118
train_00745,bfs,947,1,6886,11617,46739.0,0,192
train_00745,dfs,947,1,6886,11732,45947.0,0,192
train_00745,nurs_covnew,947,1,6886,11601,48549.0,0,192
train_00745,nurs_md2u,947,1,6886,11621,47921.0,0,192
train_00745,nurs_qc,947,1,6886,11935,48150.0,0,192
train_00745,random-path,947,1,6886,11454,46294.0,0,192
train_00763,bfs,943,1,6886,13406,78995.0,0,118
train_00763,dfs,943,1,6886,11990,77051.0,0,118
train_00763,nurs_covnew,943,1,6886,15524,82288.0,0,118
train_00763,nurs_md2u,943,1,6886,12192,79652.0,0,118
train_00763,nurs_qc,943,1,6886,13435,80195.0,0,118
train_00763,random-path,943,1,6886,13272,80135.0,0,118
train_00865,bfs,947,1,6887,12629,52040.0,0,125
train_00865,dfs,947,1,6887,12666,51641.0,0,125
train_00865,nurs_covnew,947,1,6887,11624,52066.0,0,125
train_00865,nurs_md2u,947,1,6887,14391,54714.0,0,125
train_00865,nurs_qc,947,1,6887,12944,53428.0,0,125
train_00865,random-path,947,1,6887,11130,51584.0,0,125
train_00969,bfs,956,2,6902,28910,64101.0,0,120
train_00969,dfs,956,2,6902,29052,63640.0,0,120
train_00969,nurs_covnew,956,2,6902,28024,64071.0,0,120
train_00969,nurs_md2u,956,2,6902,27596,63852.0,0,120
train_00969,nurs_qc,956,2,6902,27712,63323.0,0,120
train_00969,random-path,956,2,6902,29338,63423.0,0,120
train_01020,bfs,1012,3,7094,50343,88043.0,0,117
train_01020,dfs,1012,3,7094,56896,94170.0,0,117
train_01020,nurs_covnew,1012,3,7094,58321,97443.0,0,117
train_01020,nurs_md2u,1012,3,7094,54647,93634.0,0,117
train_01020,nurs_qc,1012,3,7094,54187,92680.0,0,117
train_01020,random-path,1012,3,7094,60307,97713.0,0,117
train_01027,bfs,953,1,8757586,0,10149287.0,0,125
train_01027,dfs,953,1,9164172,0,10149601.0,0,125
train_01027,nurs_covnew,953,1,8637605,0,10150410.0,0,125
train_01027,nurs_md2u,953,1,8690222,0,10151151.0,0,125
train_01027,nurs_qc,953,1,8612158,0,10149916.0,0,125
train_01027,random-path,953,1,9166367,0,10149023.0,0,125
train_01058,bfs,1071,3,6966,39054,7402815.0,0,125
train_01058,dfs,1071,2,6960,35731,7374954.0,0,125
train_01058,nurs_covnew,1071,5,7227,68414,7548376.0,0,125
train_01058,nurs_md2u,1071,5,7227,68897,7612308.0,0,125
train_01058,nurs_qc,1071,5,7227,63662,7572002.0,0,125
train_01058,random-path,1071,5,7018,146164,8038518.0,0,125
train_01087,bfs,1095,5,10848,103314,147730.0,0,132
train_01087,dfs,1095,5,10848,103519,147634.0,0,132
train_01087,nurs_covnew,1095,5,10848,99249,145410.0,0,132
train_01087,nurs_md2u,1095,5,10848,91769,138061.0,0,132
train_01087,nurs_qc,1095,5,10848,88895,133933.0,0,132
train_01087,random-path,1095,5,10848,89806,134867.0,0,132
train_01097,bfs,944,1,6886,11957,46716.0,0,119
train_01097,dfs,944,1,6886,11850,46077.0,0,119
train_01097,nurs_covnew,944,1,6886,12301,49355.0,0,119
train_01097,nurs_md2u,944,1,6886,11863,48148.0,0,119
train_01097,nurs_qc,944,1,6886,12663,48834.0,0,119
train_01097,random-path,944,1,6886,11673,46332.0,0,119
train_01099,bfs,1006,5,7164,54373,92949.0,0,117
train_01099,dfs,1006,5,7164,57300,95090.0,0,117
train_01099,nurs_covnew,1006,5,7164,58527,97518.0,0,117
train_01099,nurs_md2u,1006,5,7164,54999,94655.0,0,117
train_01099,nurs_qc,1006,5,7164,53859,92884.0,0,117
train_01099,random-path,1006,5,7164,63726,101622.0,0,117
train_01102,bfs,1015,5,7157,36059,73986.0,0,119
train_01102,dfs,1015,5,7157,35835,73912.0,0,119
train_01102,nurs_covnew,1015,5,7157,37881,77140.0,0,119
train_01102,nurs_md2u,1015,5,7157,35661,74787.0,0,119
train_01102,nurs_qc,1015,5,7157,34543,74000.0,0,119
train_01102,random-path,1015,5,7157,36224,74235.0,0,119
train_01129,bfs,932,1,6884,13206,68682.0,0,120
train_01129,dfs,932,1,6884,13075,68875.0,0,120
train_01129,nurs_covnew,932,1,6884,14161,71024.0,0,120
train_01129,nurs_md2u,932,1,6884,12459,69544.0,0,120
train_01129,nurs_qc,932,1,6884,12801,72095.0,0,120
train_01129,random-path,932,1,6884,11665,66780.0,0,120
train_01164,bfs,984,2,6929,14294,54703.0,0,116
train_01164,dfs,984,2,6929,14102,51641.0,0,116
train_01164,nurs_covnew,984,2,6929,14668,55690.0,0,116
train_01164,nurs_md2u,984,2,6929,14895,54433.0,0,116
train_01164,nurs_qc,984,2,6929,14686,54311.0,0,116
train_01164,random-path,984,2,6929,14016,52827.0,0,116
train_01166,bfs,977,1,6912,15521,50301.0,0,116
train_01166,dfs,977,1,6912,17228,51832.0,0,116
train_01166,nurs_covnew,977,1,6912,17554,54393.0,0,116
train_01166,nurs_md2u,977,1,6912,17099,54047.0,0,116
train_01166,nurs_qc,977,1,6912,17356,54449.0,0,116
train_01166,random-path,977,1,6912,16335,51782.0,0,116
train_01179,bfs,952,11,7004,1769123,1804763.0,0,116
train_01179,dfs,952,11,7004,1768071,1805325.0,0,116
train_01179,nurs_covnew,952,11,7004,1777821,1815688.0,0,116
train_01179,nurs_md2u,952,11,7004,1780461,1820462.0,0,116
train_01179,nurs_qc,952,11,7004,1792980,1833498.0,0,116
train_01179,random-path,952,11,7004,1798319,1836102.0,0,116
train_01189,bfs,945,1,6886,11031,45615.0,0,183
train_01189,dfs,945,1,6886,11613,46241.0,0,183
train_01189,nurs_covnew,945,1,6886,11381,48491.0,0,183
train_01189,nurs_md2u,945,1,6886,11558,48306.0,0,183
train_01189,nurs_qc,945,1,6886,10551,47238.0,0,183
train_01189,random-path,945,1,6886,11409,46092.0,0,183
train_01247,bfs,935,1,6886,12297,49509.0,0,123
train_01247,dfs,935,1,6886,12832,48685.0,0,123
train_01247,nurs_covnew,935,1,6886,12232,50443.0,0,123
train_01247,nurs_md2u,935,1,6886,13033,52298.0,0,123
train_01247,nurs_qc,935,1,6886,11590,49824.0,0,123
train_01247,random-path,935,1,6886,12581,48916.0,0,123
train_01265,bfs,934,1,6886,12439,48024.0,0,154
train_01265,dfs,934,1,6886,13908,49813.0,0,154
train_01265,nurs_covnew,934,1,6886,12153,49324.0,0,154
train_01265,nurs_md2u,934,1,6886,11495,48066.0,0,154
train_01265,nurs_qc,934,1,6886,13709,50427.0,0,154
train_01265,random-path,934,1,6886,14176,48538.0,0,154
train_01269,bfs,962,1,1006961,14284,1390948.0,0,116
train_01269,dfs,962,1,1006961,11770,1314036.0,0,116
train_01269,nurs_covnew,962,1,1006961,13435,1394205.0,0,116
train_01269,nurs_md2u,962,1,1006961,12202,1370468.0,0,116
train_01269,nurs_qc,962,1,1006961,11318,1366486.0,0,116
train_01269,random-path,962,1,1006961,15513,1392670.0,0,116
train_01297,bfs,1195,5,8139,55062,602954.0,0,127
train_01297,dfs,1195,5,8139,62077,596666.0,0,127
train_01297,nurs_covnew,1195,5,8139,51506,532222.0,0,127
train_01297,nurs_md2u,1195,5,8139,49783,533082.0,0,127
train_01297,nurs_qc,1195,5,8139,48649,527958.0,0,127
train_01297,random-path,1195,5,8139,50728,562256.0,0,127
train_01333,bfs,976,32,7972,4550674,4592818.0,0,117
train_01333,dfs,976,32,7972,4660392,4714403.0,0,117
train_01333,nurs_covnew,976,32,7972,4670512,4723762.0,0,117
train_01333,nurs_md2u,976,32,7972,4563575,4608074.0,0,117
train_01333,nurs_qc,976,32,7972,4640528,4694160.0,0,117
train_01333,random-path,976,32,7972,4679140,4726446.0,0,117
train_01339,bfs,942,1,6886,15496,114232.0,0,194
train_01339,dfs,942,1,6886,16773,116572.0,0,194
train_01339,nurs_covnew,942,1,6886,15031,116517.0,0,194
train_01339,nurs_md2u,942,1,6886,14595,115590.0,0,194
train_01339,nurs_qc,942,1,6886,15466,116717.0,0,194
train_01339,random-path,942,1,6886,15733,114413.0,0,194
train_01383,bfs,936,1,6886,11571,46915.0,0,119
train_01383,dfs,936,1,6886,13510,48350.0,0,119
train_01383,nurs_covnew,936,1,6886,11431,47811.0,0,119
train_01383,nurs_md2u,936,1,6886,12229,48946.0,0,119
train_01383,nurs_qc,936,1,6886,12215,48558.0,0,119
train_01383,random-path,936,1,6886,12680,48033.0,0,119
train_01419,bfs,946,1,6886,12408,47354.0,0,183
train_01419,dfs,946,1,6886,12241,46670.0,0,183
train_01419,nurs_covnew,946,1,6886,13106,49214.0,0,183
train_01419,nurs_md2u,946,1,6886,12560,49294.0,0,183
train_01419,nurs_qc,946,1,6886,12871,49655.0,0,183
train_01419,random-path,946,1,6886,13030,48003.0,0,183
train_01424,bfs,942,1,6886,12695,55406.0,0,119
train_01424,dfs,942,1,6886,11799,56657.0,0,119
train_01424,nurs_covnew,942,1,6886,13798,64967.0,0,119
train_01424,nurs_md2u,942,1,6886,13687,58002.0,0,119
train_01424,nurs_qc,942,1,6886,12486,56854.0,0,119
train_01424,random-path,942,1,6886,12352,54623.0,0,119
train_01443,bfs,938,1,6890,14640,51682.0,0,124
train_01443,dfs,938,1,6890,15608,52908.0,0,124
train_01443,nurs_covnew,938,1,6890,14406,52854.0,0,124
train_01443,nurs_md2u,938,1,6890,14163,52603.0,0,124
train_01443,nurs_qc,938,1,6890,15469,53855.0,0,124
train_01443,random-path,938,1,6890,14544,51688.0,0,124
train_01481,bfs,934,1,6886,19953,261235.0,0,122
train_01481,dfs,934,1,6886,18163,258422.0,0,122
train_01481,nurs_covnew,934,1,6886,18114,260077.0,0,122
train_01481,nurs_md2u,934,1,6886,17161,259188.0,0,122
train_01481,nurs_qc,934,1,6886,20667,262303.0,0,122
train_01481,random-path,934,1,6886,17359,257443.0,0,122
train_01503,bfs,941,1,6889,10939,50764.0,0,132
train_01503,dfs,941,1,6889,13955,55245.0,0,132
train_01503,nurs_covnew,941,1,6889,10977,53724.0,0,132
train_01503,nurs_md2u,941,1,6889,11815,54451.0,0,132
train_01503,nurs_qc,941,1,6889,14585,56221.0,0,132
train_01503,random-path,941,1,6889,13818,53357.0,0,132
train_01524,bfs,936,1,6886,14633,111171.0,0,121
train_01524,dfs,936,1,6886,14535,111691.0,0,121
train_01524,nurs_covnew,936,1,6886,13621,112044.0,0,121
train_01524,nurs_md2u,936,1,6886,13844,114711.0,0,121
train_01524,nurs_qc,936,1,6886,13850,112288.0,0,121
train_01524,random-path,936,1,6886,14137,113459.0,0,121
train_01526,bfs,956,1,6890,11618,46916.0,0,122
train_01526,dfs,956,1,6890,10874,45217.0,0,122
train_01526,nurs_covnew,956,1,6890,14148,50839.0,0,122
train_01526,nurs_md2u,956,1,6890,11876,48141.0,0,122
train_01526,nurs_qc,956,1,6890,11314,47704.0,0,122
train_01526,random-path,956,1,6890,14057,49351.0,0,122
train_01541,bfs,942,1,6886,11063,45636.0,0,116
train_01541,dfs,942,1,6886,11401,45904.0,0,116
train_01541,nurs_covnew,942,1,6886,10321,46132.0,0,116
train_01541,nurs_md2u,942,1,6886,11238,47125.0,0,116
train_01541,nurs_qc,942,1,6886,14182,49842.0,0,116
train_01541,random-path,942,1,6886,11547,45893.0,0,116
train_01575,bfs,946,1,6886,13702,47861.0,0,126
train_01575,dfs,946,1,6886,12254,46697.0,0,126
train_01575,nurs_covnew,946,1,6886,11947,47559.0,0,126
train_01575,nurs_md2u,946,1,6886,11910,48539.0,0,126
train_01575,nurs_qc,946,1,6886,11332,47570.0,0,126
train_01575,random-path,946,1,6886,10441,44917.0,0,126
train_01597,bfs,954,1,6887,28023,614270.0,0,123
train_01597,dfs,954,1,6887,25152,609663.0,0,123
train_01597,nurs_covnew,954,1,6887,26579,611959.0,0,123
train_01597,nurs_md2u,954,1,6887,26770,616846.0,0,123
train_01597,nurs_qc,954,1,6887,27216,615310.0,0,123
train_01597,random-path,954,1,6887,26086,612602.0,0,123
train_01616,bfs,1048,5,7229,32937,75601.0,0,125
train_01616,dfs,1048,5,7229,34721,77343.0,0,125
train_01616,nurs_covnew,1048,5,7229,30307,75360.0,0,125
train_01616,nurs_md2u,1048,5,7229,33746,77787.0,0,125
train_01616,nurs_qc,1048,5,7229,31822,76282.0,0,125
train_01616,random-path,1048,5,7229,30097,72615.0,0,125
train_01632,bfs,950,1,6886,11222,45592.0,0,119
train_01632,dfs,950,1,6886,12755,48037.0,0,119
train_01632,nurs_covnew,950,1,6886,12577,48775.0,0,119
train_01632,nurs_md2u,950,1,6886,11070,47928.0,0,119
train_01632,nurs_qc,950,1,6886,14040,49870.0,0,119
train_01632,random-path,950,1,6886,12140,46870.0,0,119
train_01650,bfs,938,1,6886,12457,46979.0,0,115
train_01650,dfs,938,1,6886,13426,47649.0,0,115
train_01650,nurs_covnew,938,1,6886,15599,51299.0,0,115
train_01650,nurs_md2u,938,1,6886,14242,50303.0,0,115
train_01650,nurs_qc,938,1,6886,11766,47943.0,0,115
train_01650,random-path,938,1,6886,14292,49845.0,0,115
train_01652,bfs,946,1,6888,12744,47929.0,0,116
train_01652,dfs,946,1,6888,12027,45909.0,0,116
train_01652,nurs_covnew,946,1,6888,11601,47289.0,0,116
train_01652,nurs_md2u,946,1,6888,11585,47896.0,0,116
train_01652,nurs_qc,946,1,6888,11347,46681.0,0,116
train_01652,random-path,946,1,6888,11664,45951.0,0,116
train_01686,bfs,1076,5,7825,10235654,10928923.0,0,121
train_01686,dfs,1076,5,7661,9453302,10143894.0,0,121
train_01686,nurs_covnew,1076,5,7917,10713153,11715013.0,0,121
train_01686,nurs_md2u,1076,5,7917,10594260,11503919.0,0,121
train_01686,nurs_qc,1076,5,7787,9493085,10362286.0,0,121
train_01686,random-path,1076,5,7921,10716326,11747794.0,0,121
train_01703,bfs,948,1,6887,12561,53327.0,0,123
train_01703,dfs,948,1,6887,13588,54027.0,0,123
train_01703,nurs_covnew,948,1,6887,11200,52490.0,0,123
train_01703,nurs_md2u,948,1,6887,12531,54065.0,0,123
train_01703,nurs_qc,948,1,6887,11794,53421.0,0,123
train_01703,random-path,948,1,6887,11965,51618.0,0,123
train_01728,bfs,932,1,6886,18290,52440.0,0,115
train_01728,dfs,932,1,6886,19940,54542.0,0,115
train_01728,nurs_covnew,932,1,6886,18914,54041.0,0,115
train_01728,nurs_md2u,932,1,6886,17493,53044.0,0,115
train_01728,nurs_qc,932,1,6886,18946,54578.0,0,115
train_01728,random-path,932,1,6886,18818,52626.0,0,115
train_01750,bfs,947,1,6889,11799,47745.0,0,126
train_01750,dfs,947,1,6889,11747,47629.0,0,126
train_01750,nurs_covnew,947,1,6889,13355,50595.0,0,126
train_01750,nurs_md2u,947,1,6889,12217,49684.0,0,126
train_01750,nurs_qc,947,1,6889,12786,49987.0,0,126
train_01750,random-path,947,1,6889,12627,48469.0,0,126
train_01754,bfs,1057,53,7871,10453694,10574173.0,0,119
train_01754,dfs,1057,29,8221,13874086,13933616.0,0,119
train_01754,nurs_covnew,1053,52,7640,10800193,10910168.0,0,119
train_01754,nurs_md2u,1053,52,7640,10901390,11026719.0,0,119
train_01754,nurs_qc,1042,52,7479,10502991,10574770.0,0,119
train_01754,random-path,1057,44,7662,10301386,10371583.0,0,119
train_01907,bfs,936,1,6889,14517,108299.0,0,136
train_01907,dfs,936,1,6889,14462,108934.0,0,136
train_01907,nurs_covnew,936,1,6889,14887,112098.0,0,136
train_01907,nurs_md2u,936,1,6889,15778,112707.0,0,136
train_01907,nurs_qc,936,1,6889,15818,111879.0,0,136
train_01907,random-path,936,1,6889,17294,111398.0,0,136
train_01940,bfs,954,1,6893,14856,72214.0,0,125
train_01940,dfs,954,1,6893,12964,70664.0,0,125
train_01940,nurs_covnew,954,1,6893,12984,73214.0,0,125
train_01940,nurs_md2u,954,1,6893,13352,72659.0,0,125
train_01940,nurs_qc,954,1,6893,13017,72461.0,0,125
train_01940,random-path,954,1,6893,15607,73412.0,0,125
train_01961,bfs,1032,2,6964,45927,82874.0,0,118
train_01961,dfs,1032,2,6964,49686,86103.0,0,118
train_01961,nurs_covnew,1032,2,6964,45222,83660.0,0,118
