program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp13_asymmetric,nurs:covnew,1743037,153,0,16,0,671,105594,0,106265,2270704,880917,34540065.0,9331493
exp13_asymmetric,nurs:md2u,1733766,153,0,16,0,657,105017,0,105674,2270704,876169,34317551.0,9279596
exp13_asymmetric,default,1815791,150,3,15,1,6,99504,0,99510,2268128,928347,32788602.0,8522365
exp14_coverage_oasis,dfs,1417899,191,0,12,0,65888,10,0,65898,1217584,595130,10003009.0,4473074
exp14_coverage_oasis,bfs,1984386,191,0,12,0,13156,138726,0,151882,3317544,918072,38189184.0,10328236
exp14_coverage_oasis,random-path,1776588,191,0,12,0,1187,125025,0,126212,2273864,822153,36357367.0,9123976
exp14_coverage_oasis,nurs:qc,1465723,191,0,12,0,13901,80426,0,94327,2274536,664735,26297896.0,6949146
exp14_coverage_oasis,nurs:covnew,1462325,191,0,12,0,13827,80322,0,94149,2274536,663283,26467109.0,6962157
exp14_coverage_oasis,nurs:md2u,1462362,191,0,12,0,13828,80324,0,94152,2274536,663303,26448966.0,6932398
exp14_coverage_oasis,default,1585482,191,0,12,0,483,110882,0,111365,2275328,732156,33516785.0,8083318
exp15_distance,dfs,1502728,103,4,7,1,54708,11,0,54719,1160928,835249,10003488.0,4883764
exp15_distance,bfs,2057055,97,10,6,1,2,156769,0,156771,3256808,1063481,45939152.0,12669786
exp15_distance,random-path,1987890,97,10,6,1,2,115275,0,115277,2225208,1021069,36444968.0,9853974
exp15_distance,nurs:qc,1762299,103,4,7,1,132,106403,0,106535,2231776,890386,34729152.0,9362111
exp15_distance,nurs:covnew,1757894,103,4,7,1,130,106174,0,106304,2231776,888271,34494004.0,9365089
exp15_distance,nurs:md2u,1766536,103,4,7,1,135,106650,0,106785,2231776,892470,35132756.0,9410643
exp15_distance,default,1813110,97,10,6,1,2,99295,0,99297,2222576,926699,32707196.0,8465501
exp16_solver_gradient,dfs,1183,176,0,20,0,56,0,0,56,1227952,784,175298.0,169195
exp16_solver_gradient,bfs,1183,176,0,20,0,56,0,0,56,1227952,784,164028.0,158066
exp16_solver_gradient,random-path,1183,176,0,20,0,56,0,0,56,1227952,784,161840.0,155526
exp16_solver_gradient,nurs:qc,1183,176,0,20,0,56,0,0,56,1231080,784,162635.0,155911
exp16_solver_gradient,nurs:covnew,1183,176,0,20,0,56,0,0,56,1231080,784,159106.0,152198
exp16_solver_gradient,nurs:md2u,1183,176,0,20,0,56,0,0,56,1231080,784,166658.0,159960
exp16_solver_gradient,default,1183,176,0,20,0,56,0,0,56,1229088,784,162711.0,155794
exp17_progressive_unlock,dfs,268971,180,0,14,0,16384,0,0,16384,1188928,127250,2135386.0,952733
exp17_progressive_unlock,bfs,268971,180,0,14,0,16384,0,0,16384,1188928,127250,2178125.0,937022
exp17_progressive_unlock,random-path,268971,180,0,14,0,16384,0,0,16384,1192352,127250,2388353.0,1005362
exp17_progressive_unlock,nurs:qc,268971,180,0,14,0,16384,0,0,16384,1192800,127250,2509730.0,1010471
exp17_progressive_unlock,nurs:covnew,268971,180,0,14,0,16384,0,0,16384,1192800,127250,2451359.0,1007629
exp17_progressive_unlock,nurs:md2u,268971,180,0,14,0,16384,0,0,16384,1192800,127250,2505471.0,1031886
exp17_progressive_unlock,default,268971,180,0,14,0,16384,0,0,16384,1193912,127250,2516242.0,1005271
exp18_shallow_bug,dfs,1025195,78,7,6,0,41892,25,0,41917,1140024,555889,10005975.0,5323941
exp18_shallow_bug,bfs,2000072,82,3,6,1,1,168021,0,168022,3250720,1022876,47822867.0,12459014
exp18_shallow_bug,random-path,1820690,82,3,6,1,1,126812,0,126813,2224360,942829,38333475.0,10051085
exp18_shallow_bug,nurs:qc,1731741,82,3,6,1,1,105725,0,105726,2212712,874358,34144495.0,8911704
exp18_shallow_bug,nurs:covnew,1742496,82,3,6,1,1,106425,0,106426,2212712,879811,34320634.0,8947381
exp18_shallow_bug,nurs:md2u,1740966,82,3,6,1,1,106324,0,106325,2212712,879053,34202220.0,8934069
exp18_shallow_bug,default,1662544,82,3,6,1,1,112629,0,112630,2218360,847991,34877456.0,8911391
exp19_solver_cost_war,dfs,1156,67,45,4,1,30,10,0,40,1178376,606,11669127.0,11646424
exp19_solver_cost_war,bfs,5401,91,21,3,4,0,202,0,202,1374008,2700,10955772.0,10835187
exp19_solver_cost_war,random-path,5776,91,21,3,4,0,152,0,152,1305112,2900,11187421.0,11085357
exp19_solver_cost_war,nurs:qc,2572,91,21,3,4,0,69,0,69,1200736,1296,10694385.0,10643942
exp19_solver_cost_war,nurs:covnew,5112,91,21,3,4,0,135,0,135,1285160,2572,10307646.0,10205866
exp19_solver_cost_war,nurs:md2u,5112,91,21,3,4,0,135,0,135,1285160,2572,10323875.0,10221725
exp19_solver_cost_war,default,5335,91,21,3,4,0,144,0,144,1297304,2687,10975809.0,10872983
exp20_narrow_deep_maze,dfs,800,52,0,3,0,41,0,0,41,1057824,430,120871.0,116222
exp20_narrow_deep_maze,bfs,800,52,0,3,0,41,0,0,41,1057824,430,127363.0,122635
exp20_narrow_deep_maze,random-path,800,52,0,3,0,41,0,0,41,1057824,430,122608.0,117842
exp20_narrow_deep_maze,nurs:qc,800,52,0,3,0,41,0,0,41,1058552,430,126740.0,121773
exp20_narrow_deep_maze,nurs:covnew,800,52,0,3,0,41,0,0,41,1058552,430,123145.0,118082
exp20_narrow_deep_maze,nurs:md2u,800,52,0,3,0,41,0,0,41,1058552,430,125694.0,120467
exp20_narrow_deep_maze,default,800,52,0,3,0,41,0,0,41,1058544,430,125011.0,119964
exp21_interleaved_hot_cold,dfs,728331,269,55,28,0,46922,19,0,46941,1424816,328888,10005070.0,5257893
exp21_interleaved_hot_cold,bfs,1365957,207,117,18,0,0,165583,0,165583,3511320,678853,46176598.0,12331901
exp21_interleaved_hot_cold,random-path,1332637,217,107,19,0,0,124851,0,124851,2516856,635646,37534543.0,10035147
exp21_interleaved_hot_cold,nurs:qc,1105387,295,29,26,0,0,101321,0,101321,2565464,529827,32845861.0,9092723
exp21_interleaved_hot_cold,nurs:covnew,1116107,295,29,26,0,0,102378,0,102378,2566976,535142,33417840.0,9232468
exp21_interleaved_hot_cold,nurs:md2u,1113137,295,29,26,0,0,102084,0,102084,2565464,533667,33308549.0,9118789
