program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00408,bfs,1038,5,12611,32073,5533006.0,0,130
train_00408,default,1031,118,7807,12695308,13073835.0,0,130
train_00408,dfs,1011,110,7443,10381498,10669821.0,0,130
train_00408,nurs_covnew,1023,115,7779,12118756,12445771.0,0,130
train_00408,nurs_md2u,1023,115,7778,12849102,13167572.0,0,130
train_00408,nurs_qc,1014,113,7557,11605160,11962754.0,0,130
train_00408,random-path,1031,145,9162,9741401,10183280.0,0,130
train_00412,bfs,933,1,506913,1,533356.0,0,119
train_00412,default,933,1,506913,3,581552.0,0,119
train_00412,dfs,933,1,506913,2,544659.0,0,119
train_00412,nurs_covnew,933,1,506913,2,566076.0,0,119
train_00412,nurs_md2u,933,1,506913,1,619164.0,0,119
train_00412,nurs_qc,933,1,506913,2,569221.0,0,119
train_00412,random-path,933,1,506913,2,542601.0,0,119
train_00493,bfs,1005,58,8692,11052405,11125557.0,0,118
train_00493,default,1005,38,8504,11515926,11590760.0,0,118
train_00493,dfs,1005,14,7487,12368362,12415050.0,0,118
train_00493,nurs_covnew,1005,43,8728,11744034,11819117.0,0,118
train_00493,nurs_md2u,1005,43,8728,11979219,12050230.0,0,118
train_00493,nurs_qc,1005,43,8579,10045408,10112838.0,0,118
train_00493,random-path,1005,38,8486,11463699,11531073.0,0,118
train_00495,bfs,1108,35,354351,5102553,10079796.0,0,123
train_00495,default,1108,85,32861,9373467,10140677.0,0,123
train_00495,dfs,1108,34,332638,5110589,10079883.0,0,123
train_00495,nurs_covnew,1094,88,22148,9541757,10146189.0,0,123
train_00495,nurs_md2u,1094,89,22276,9558518,10157981.0,0,123
train_00495,nurs_qc,1066,91,18643,9606469,10152109.0,0,123
train_00495,random-path,1108,42,293229,5788135,10088395.0,0,123
train_00497,bfs,997,1177,62055,8827746,10101223.0,0,117
train_00497,default,997,1148,60587,8777220,10135515.0,0,117
train_00497,dfs,993,656,37607,9227206,10138571.0,0,117
train_00497,nurs_covnew,997,1193,62683,8778080,10129267.0,0,117
train_00497,nurs_md2u,997,1171,61641,8858064,10157974.0,0,117
train_00497,nurs_qc,997,1166,61556,8851092,10084944.0,0,117
train_00497,random-path,997,1195,62844,8619400,10141497.0,0,117
train_00498,bfs,1068,3,7540313,10618,10036021.0,0,140
train_00498,default,1010,400,1301337,7416955,10810584.0,0,140
train_00498,dfs,1064,2,7721862,6553,10026795.0,0,140
train_00498,nurs_covnew,1006,410,1006342,7619718,10838872.0,0,140
train_00498,nurs_md2u,1006,416,1015348,7840688,10834454.0,0,140
train_00498,nurs_qc,1006,381,1650389,6835710,10706586.0,0,140
train_00498,random-path,1068,21,7845007,87820,10032864.0,0,140
train_00501,bfs,979,1,6949,2,39786.0,0,118
train_00501,default,979,1,6949,2,37440.0,0,118
train_00501,dfs,979,1,6949,2,35121.0,0,118
train_00501,nurs_covnew,979,1,6949,2,37584.0,0,118
train_00501,nurs_md2u,979,1,6949,2,37233.0,0,118
train_00501,nurs_qc,979,1,6949,3,38320.0,0,118
train_00501,random-path,979,1,6949,2,37113.0,0,118
train_00502,bfs,1088,3,7546,13199482,13245953.0,0,118
train_00502,default,1088,3,7549,13206350,13253553.0,0,118
train_00502,dfs,1088,3,7546,13216053,13258785.0,0,118
train_00502,nurs_covnew,1088,3,7551,13150801,13195406.0,0,118
train_00502,nurs_md2u,1088,3,7551,13390409,13436505.0,0,118
train_00502,nurs_qc,1088,3,7546,13181548,13226077.0,0,118
train_00502,random-path,1088,3,7546,13370355,13415566.0,0,118
train_00503,bfs,1041,28,8612,10670146,11057301.0,0,119
train_00503,default,1041,37,9335,11452837,11854584.0,0,119
train_00503,dfs,1041,140,35483,12111313,12624635.0,0,119
train_00503,nurs_covnew,1041,37,9338,11469198,11872443.0,0,119
train_00503,nurs_md2u,1041,37,9338,10506298,10906761.0,0,119
train_00503,nurs_qc,1041,37,9338,13772911,14189308.0,0,119
train_00503,random-path,1041,37,9335,10767299,11183323.0,0,119
train_00550,bfs,1572,119,6554358,612077,10033197.0,0,159
