program,dfs,bfs,random-path,nurs_covnew,nurs_md2u,nurs_qc,default,best_searcher,coverage_gap
train_02902,995,999,1018,1018,1018,1018,1018,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,23
train_03112,1110,959,959,959,959,959,960,dfs,151
train_03157,1013,1073,1073,1073,1073,1073,1073,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,60
train_03208,1003,1007,1007,1007,1007,1007,1007,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,4
train_03217,1006,1049,1049,1049,1049,1049,1049,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,43
train_03311,1041,1042,1042,1042,1042,1042,1042,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,1
train_03322,1013,1083,1083,1083,1083,1083,1083,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,70
train_03467,1020,960,960,960,960,960,960,dfs,60
train_03528,1037,985,985,989,989,989,989,dfs,52
train_03631,978,982,995,995,995,995,995,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,17
train_03677,984,994,994,994,994,994,994,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,10
train_03726,967,945,967,967,967,967,967,default/dfs/nurs_covnew/nurs_md2u/nurs_qc/random-path,22
train_03733,1004,1015,1015,1015,1015,1015,1015,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,11
train_03885,1044,1045,1045,1045,1045,1045,1045,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,1
train_03946,975,1022,1033,1023,1020,1023,1033,default/random-path,58
train_04047,1001,1007,1007,1007,1007,1007,1007,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,6
train_04049,956,1004,1004,1004,1004,1004,1004,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,48
train_04257,1136,1074,1074,1132,1132,1132,1080,dfs,62
train_04259,988,1139,1174,1165,1165,1165,1174,default/random-path,186
train_04351,1058,1094,1094,1094,1094,1094,1094,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,36
train_04370,1239,1239,1239,1055,1055,1055,1239,bfs/default/dfs/random-path,184
train_04464,1079,0,0,0,0,0,0,dfs,1079
train_04511,994,1009,1009,1009,1009,1009,1009,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,15
train_04559,1004,1010,1010,1006,1006,1006,1010,bfs/default/random-path,6
train_04561,977,971,919,919,940,967,929,dfs,58
train_04571,1008,1008,1004,988,988,990,1004,bfs/dfs,20
train_04584,949,957,973,973,973,973,973,default/nurs_covnew/nurs_md2u/nurs_qc/random-path,24
train_04663,1082,1099,1099,1095,1095,1089,1099,bfs/default/random-path,17
train_04666,960,960,960,960,960,961,960,nurs_qc,1
train_04669,991,996,996,996,996,996,996,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,5
train_04688,954,1024,954,954,954,954,963,bfs,70
train_04880,1016,1039,1039,1039,1039,1039,1039,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,23
train_04988,1126,1293,1297,1292,1292,1292,1297,default/random-path,171
train_05184,1005,1009,1009,950,949,950,1009,bfs/default/random-path,60
train_05188,986,988,988,988,988,988,988,bfs/default/nurs_covnew/nurs_md2u/nurs_qc/random-path,2
train_05290,0,0,0,0,984,0,0,nurs_md2u,984
